P12;label
309460;ESTAQUITAS
309465;LA PROVIDENCIA
309475;OMBU
309480;PICADA BERON
309485;PUERTO ALGARROBO
309490;SAN GUSTAVO
309495;SAN RAMIREZ
309497;SAUCECITO
309500;SIR LEONARD
309505;YACARE
309510;YESO OESTE
300000;ZONA RURAL
300266;ARANGUREN
300273;HERNANDEZ
300280;LUCAS GONZALEZ
300287;NOGOYA
309515;ALDEA SAN MIGUEL
309520;BETBEDER
309525;CRUCESITAS OCTAVA
309540;DISTRITO CHIQUEROS
309545;DON CRISTOBAL PRIMERO
309550;DON CRISTOBAL SEGUNDO
309555;FEBRE
309560;JUSTO JOSE DE URQUIZA
309565;LAURENCENA
309570;XX DE SETIEMBRE
300000;ZONA RURAL
300294;CERRITO
300297;COLONIA AVELLANEDA
300301;CRESPO
300308;HASENKAMP
300315;HERNANDARIAS
300322;MARIA GRANDE
300329;ORO VERDE
300336;PARANA
300343;SAN BENITO
300350;SEGUI
300357;TABOSSI
300364;VIALE
300371;VILLA URQUIZA
309575;ALDEA EIGENFELD
309580;ALDEA MARIA LUISA
309585;ALDEA SAN ANTONIO
309590;ALDEA SAN RAFAEL
309595;ALDEA SANTA MARIA
309605;ANTONIO TOMAS
309610;ARROYO BURGOS
309620;ARROYO MATURRANGO
309625;ARROYO PALO SECO
309635;COLONIA CELINA
309645;COLONIA CRESPO
309650;COLONIA MEROU
309660;CURTIEMBRE
309670;DISTRITO TALA
309675;EL PALENQUE
309680;EL PINGO
309685;ESPINILLO NORTE
309690;LA PICADA
309695;LAS GARZAS
309700;LAS TUNAS
309705;MARIA GRANDE 2º
309710;PASO DE LA ARENA
309715;PASO DE LAS PIEDRAS
309720;PUEBLO BRUGO
309730;QUEBRACHO
309735;SANTA LUISA
309740;SAUCE MONTRULL
309745;SAUCE PINTO
309750;SOSA
309755;TEZANOS PINTO
309760;VILLA FONTANA
309765;VILLA GOBERNADOR ETCHEVEHERE
300000;ZONA RURAL
300378;GENERAL CAMPOS
300385;SAN SALVADOR
309770;COLONIA BAYLINA
309775;COLONIA OFICIAL Nº5
309780;SAN ERNESTO
309785;WALTER MOSS
300000;ZONA RURAL
300392;GOBERNADOR MANSILLA
300399;MACIA
300406;ROSARIO DEL TALA
309790;ALTAMIRANO SUR
309795;ARROYO CLE
309800;DURAZNO
309805;SOLA
309810;GOBERNADOR ECHAGUE
309815;GUARDAMONTE
309820;LA OLLITA
309825;LAS GUACHAS
300000;ZONA RURAL
300413;BASAVILBASO
300420;CASEROS
300423;COLONIA ELIA
300427;CONCEPCION DEL URUGUAY
300434;HERRERA
300437;1º DE MAYO
300441;PRONUNCIAMIENTO
300448;SAN JUSTO
300455;SANTA ANITA
300462;VILLA MANTERO
309832;ARROYO GENA
309840;ESTACION LIBAROS
